group_num,day1_att_sa,day1_att_sco,day2_att_sa,day2_att_sco,day1_fix_sa,day1_fix_sco,day2_fix_sa,day2_fix_sco,day1_rev_sa,day1_rev_sco,day2_rev_sa,day2_rev_sco
1,20,10,26,14,9,6,9,20,19,13,56,9
2,53,2,300,24,7,9,91,300,6,18,300,300
3,13,33,300,6,14,15,300,300,26,9,163,300
4,12,29,251,6,12,11,241,300,4,10,286,300
5,10,38,81,300,18,4,300,294,5,4,300,300
6,10,29,147,6,9,23,300,300,50,8,235,20
7,15,6,300,21,20,18,177,300,20,26,300,124
8,21,58,300,112,19,60,204,300,19,21,124,300
9,17,159,300,300,8,12,300,274,15,18,300,300
10,36,23,165,15,9,4,124,204,10,34,300,210
11,12,24,300,12,3,12,41,106,6,11,47,300
12,12,33,252,10,20,12,300,300,19,7,300,300
13,14,39,300,18,26,23,18,242,21,8,300,204
14,35,21,300,14,20,14,248,9,7,12,300,300
